stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,0,0,0,0,2.68,4.02,0,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,1.34
3Month,0,0,4.16,0.32,1.28,0.96,0,3.84,3.2,4.48,1.92,0.64,2.24,3.2,0.96,0,0.32,0.32,0.32,0.32,0.32,1.6,0,0.32,24.96
22Month,0,0.55,2.73,0,0,1.64,4.37,11.48,2.19,2.73,3.28,0.55,6.56,0.55,0,0.55,1.09,0,0,1.09,0,0,0.55,0,3.83
