stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,8,0,0.96,2.56,0.64,62.39,45.75,0.96,1.92,0.32,0,0,0.32,0.32,0,0.32,0.96,0.64
22Month,0,1.09,2.73,0,0.55,2.19,1.09,92.93,10.39,0.55,0,0.55,1.09,4.92,0,0,0.55,0,0.55,0
