stage,Endothelial_cell,Erythrocyte,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,4.09,12.26,0,4.09,28.6,0
72hpf,1.07,0,0,0,1.07,2.14,2.14,1.07
21Day,0,1.34,0,0,0,1.34,0,0
