stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,49.04,8.17,0,0,0,0,0,0,0,163.46,0,0,0,0,4.09,4.09,0,4.09,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,46,43.86,0,0,0,0,0,0,0,0,1.07,0,0,0,12.84,24.61,0,0,0,3.21,0,0,19.26,9.63,4.28,0,0,0,17.12,3.21,2.14,0,0,0,0
21Day,1.34,0,0,178.02,20.08,6.69,0,1.34,0,33.46,0,0,0,8.03,0,1.34,0,4.02,18.74,4.02,5.35,0,0,18.74,0,10.71,13.39,5.35,1.34,0,1.34,18.74,12.05,1.34,1.34,0,0,0
3Month,0.32,0.64,0.64,99.82,0.64,0,0.32,0,0.32,167.97,2.56,0,0,18.88,3.84,0,4.16,3.52,3.2,3.52,3.84,0.96,0,20.48,1.6,4.48,0,14.08,0,0,0,4.48,41.27,0,0,0.64,49.27,1.92
22Month,0,1.64,0.55,66.15,2.19,0,1.09,0.55,0,129.01,1.09,0.55,0.55,165.09,0.55,0,14.21,1.09,3.83,2.19,3.28,0,2.73,13.12,0,1.64,0,22.41,0.55,6.01,0,0.55,28.43,0.55,0,0,1.09,0.55
