stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,8.56,0,0,0,1.07,0,1.07,0,0,0
21Day,0,8.03,0,0,0,0,0,0,0,0,0,4.02,0,1.34,0,0,0,0,0,0,1.34
3Month,0.64,4.48,0.32,0.32,1.28,0.64,3.52,0.64,0,2.88,0.32,0.32,0.96,0.96,0.64,0.32,0,0,0.32,0.64,1.28
22Month,0,1.09,0,0,1.09,0,3.28,0.55,1.09,0.55,0.55,0,1.09,1.09,0,0,0,0,0,0,0.55
