stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,2.14,2.14,1.07,0,0,0,0,0,0,0,1.07,0,2.14,1.07,0,3.21,0,0,0,0,6.42,4.28,0,4.28,0,0,0,0,0,0,0
21Day,0,0,16.06,0,2.68,0,0,0,1.34,0,0,0,53.54,0,0,66.93,34.8,4.02,0,0,1.34,0,4.02,5.35,0,4.02,2.68,0,0,0,0,0,4.02
3Month,0.96,1.28,79.03,1.28,0,0.32,0,4.8,2.24,0,5.12,15.36,8,3.2,0.96,1.6,105.9,2.88,1.28,0.32,0.64,0.32,1.28,0.32,0.64,0.32,0,7.68,0.32,0,0.96,1.92,4.48
22Month,3.28,2.19,54.67,1.09,0,0.55,0.55,10.39,13.67,9.29,31.16,8.75,23.51,1.64,0,1.09,147.05,7.11,0,1.09,1.09,0,0.55,0,1.09,0,0.55,6.56,0,0.55,0,0,4.37
