stage,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,4.09,4.09,16.35
72hpf,1.07,0,0,0,0,1.07,2.14,2.14,1.07
21Day,0,1.34,0,0,1.34,0,4.02,0,0
22Month,0,0,1.09,0.55,0,0,0,0,0
