stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,53.12,0,0,0,0,0,4.09,0,0,0,0,4.09,0,159.37,0,0,0,16.35,265.62,65.38,0,0,0,0,0,0,0,0
72hpf,5.35,4.28,12.84,1.07,5.35,0,0,0,0,0,0,0,1.07,56.7,1.07,220.38,0,0,2.14,31.02,27.81,269.59,0,0,2.14,0,6.42,0,0,0
21Day,0,0,5.35,0,5.35,0,0,0,0,1.34,1.34,0,0,12.05,0,128.5,0,0,16.06,4.02,5.35,127.16,8.03,0,1.34,1.34,1.34,0,0,0
3Month,0,0.32,0.64,0,0,0,1.28,0,0,1.28,0.32,0,0.64,2.56,0,8.32,2.56,0,0.64,0.32,0,0.32,0,1.28,0,0,0,0.32,0.32,0.32
22Month,0,0,1.64,0,0,0.55,0.55,0.55,0,15.85,0,1.64,0,0.55,0,2.73,0.55,1.64,1.09,0,0,0,0,0,0,0,0,0,0,0
