stage,Epithelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,4.09,0,0
72hpf,0,0,3.21,0,0,0
3Month,0.64,0.32,0,0,0.32,0.32
22Month,0,0,0,0,1.09,0
