stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,8.17,0,4.09,65.38,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,2.14,0,3.21,0,47.07,8.56,1.07,0,1.07,0
21Day,0,0,2.68,0,0,1.34,0,0,1.34,2.68,0,30.79,2.68,1.34,0,1.34,0
3Month,0,0,0.32,0.32,0,0,0.32,0.32,0.64,0.96,0.32,0,0,0,0,0,0.32
22Month,0,0.55,0,0.55,1.09,0.55,0,0,0,0,0,0,0,0,1.09,0,0
