stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,8.17,0,0,0,4.09,12.26,118.51,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,1.07,2.14,0,0,0,0,1.07,0,0,0,0,0,5.35,5.35,0,5.35,0,0,0,0,9.63,39.58,0,0,5.35,1.07,0,3.21,0,0,0,0,0,0
21Day,2.68,0,0,21.42,1.34,18.74,0,25.43,0,0,0,0,0,12.05,0,0,5.35,4.02,12.05,0,0,1.34,0,6.69,32.12,0,0,4.02,5.35,2.68,4.02,0,1.34,1.34,0,0,1.34
3Month,0,1.28,0,12.16,0,0,0.96,0.64,3.2,5.76,0,11.52,3.2,0.64,5.76,0.96,3.52,3.52,2.88,0.32,0,0.32,0.64,0.96,0.32,0.96,0,0,2.24,293.39,0.96,0,0,0.64,2.56,90.55,8
22Month,0,1.09,0.55,5.47,0,0,0.55,0.55,0.55,13.67,2.73,55.21,4.92,2.19,8.2,0,1.09,10.93,2.73,0,1.09,0.55,0,0.55,0,0,3.28,0,1.64,96.76,1.09,0.55,0,0,0,0.55,2.19
