stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,1.34,0,0,0,9.37,1.34,0,0,1.34,0,0,0,0,0,0,1.34
3Month,0.32,4.8,3.2,1.92,11.2,0,1.92,0.64,0.64,51.83,0.96,0.32,0.96,0,0,0,0.32,1.28,0.32,1.6,0.32
22Month,0,2.19,6.56,11.48,3.83,1.09,1.09,0.55,0.55,44.28,0.55,0,0.55,0,0,0.55,0,0,0,0,0.55
