stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,4.28,0,1.07,2.14,0,0,0,0,0,3.21,1.07,2.14,0,0,0,0,569.13,7.49,1.07,14.98,8.56,0,0,1.07,0
21Day,0,0,9.37,10.71,0,0,0,0,1.34,2.68,0,5.35,0,0,0,0,231.57,0,0,2.68,0,1.34,0,2.68,1.34
3Month,0,0,0.32,0,0,0,2.56,0.64,0.32,0,0.32,3.52,1.6,0,0.32,0,0,0,0.32,0.64,0,0,0.64,0,0
22Month,0,1.09,1.09,0,1.64,1.09,13.12,0.55,0.55,0,0,9.29,0,1.64,0,0.55,2.19,0,0.55,0,0,0,0.55,0.55,0
