stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,37.44,0,1.07,0,3.21,2.14,0,0,0,0
21Day,0,0,16.06,2.68,0,0,0,0,1.34,0,1.34,38.82,1.34,4.02,0,1.34,0,0,1.34,0,0
3Month,0,0.32,25.28,0,0.32,0.96,2.88,0.96,0,3.52,0.32,0.96,0.96,0.32,0.32,0.32,0,1.92,0,0.32,0.64
22Month,0.55,0,0.55,0,1.09,1.09,4.37,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0
