stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,10.71,1.34,0,0,0,0,0,0,0,0,0,1.34,8.03,0,2.68,0,0,1.34,0,1.34,0,0,0,1.34,0,0,0,6.69,0,0,0
3Month,0.32,0,22.08,0,0,0,2.56,1.92,0,4.48,1.28,0,2.24,0,14.08,2.56,94.39,2.88,0,0,0.32,0.64,0.32,0.64,0,0,0.96,3.2,0,0.64,0.64,0.32,0.96
22Month,1.09,0.55,2.19,0,0.55,0.55,0.55,1.09,0.55,24.6,2.19,0.55,3.28,0.55,0.55,0.55,63.41,0.55,0.55,0,0,0,2.19,0,1.09,0,0,1.64,0.55,0,0,0,0.55
