stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,3.21,0,0,1.07,0,0,27.81,0,0,0
21Day,0,0,0,0,0,1.34,2.68,0,0,0,0,0,9.37,0,1.34,0
3Month,0,0.32,0,0.96,0,0,0.96,0.32,0,0,0,0.32,0,0.96,0,0.32
22Month,0.55,0,0.55,7.11,0,0,0,0,0.55,0,0.55,0,0,0,0,0.55
