stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,331,0,0,0,0,4.09,32.69,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,16.05,0,0,1.07,0,5.35,1.07,0,0,0,46,0,0,0,0,0,0,0,0
21Day,0,0,0,2.68,0,1.34,0,1.34,0,0,0,25.43,0,1.34,0,0,1.34,1.34,89.68,0,0,4.02,0,8.03,1.34,0,0,0,52.2,0,0,1.34,2.68,1.34,2.68,0,1.34
3Month,0.64,2.24,0,2.88,0.32,0,0.32,0.32,0.32,0.32,1.6,52.47,0.96,0,1.92,0.32,2.88,1.92,53.75,22.4,0,4.48,0.64,0.32,0,0,0.32,0,4.48,0.64,6.72,0,0,0,0.64,1.28,0.64
22Month,0,8.2,0.55,4.37,0,0,1.09,0,0,0.55,2.73,731.97,1.09,0.55,4.92,0,1.09,0.55,50.29,2.19,25.15,3.83,0,0.55,0,1.09,0.55,0.55,3.83,0,6.56,0,0,0,0.55,0,1.09
