stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,8.17,8.17,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,49.21,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,1.07,0,2.14,0,0,0,3.21,0,0,2.14,0,0,0,0,0
21Day,25.43,0,2.68,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,16.96,0.32,0,0.32,0.32,0.96,0,0,5.44,0,0,2.24,0,0.32,0.32,0.32,0,0,1.28,0,0,0,0,2.24,0.32,0.32,0.32,0.64
22Month,0,0.55,5.47,0,0,0,1.09,10.93,0.55,0,9.84,1.09,1.64,5.47,0.55,2.19,13.12,3.83,1.09,1.64,0,0.55,0.55,0.55,0,3.28,0,0,0,0
