stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,12.26,0,20.43,0,0
72hpf,1.07,0,0,0,1.07,0,1.07,2.14,4.28,0,2.14
21Day,1.34,0,0,0,0,0,0,5.35,0,2.68,0
22Month,0,0.55,0.55,0.55,0,0.55,0,0,0,0,0
