stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,568.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,60.98,1.07,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,2.14,1.07,0,0,4.28,0,0,0,0,0,0
21Day,153.93,0,2.68,6.69,1.34,0,0,0,0,1.34,0,2.68,6.69,0,1.34,1.34,2.68,0,0,1.34,0,2.68,0,1.34,1.34,2.68,1.34,0,0,0,0,1.34
3Month,6.4,0.64,11.2,8.96,0,1.92,2.56,1.6,0,77.75,2.24,0.32,163.49,0.96,1.92,1.6,8,1.28,0.32,1.6,0.32,0.32,0,7.36,0.32,0,1.92,4.48,0,0.32,1.28,1.28
22Month,1.09,2.19,15.31,12.57,0,0,6.56,3.28,1.64,92.38,1.64,0.55,314.33,0,0.55,6.56,13.67,0.55,1.64,1.09,1.09,0,0.55,8.75,0.55,0,0,7.65,1.64,0.55,0,0.55
