stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0
72hpf,2.14,1.07,0,0,0,0,2.14,0,3.21,9.63,1.07,0,4.28,0
21Day,1.34,0,1.34,0,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0,0,0.64,0.32,1.28,0.64,0,0.32,0,0,0,0,0,0.64
22Month,0,0,0,0,2.19,0,0,0,0,0,0,0.55,0,0
