stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,0,0,12.26,0,0,40.86,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,1.34,1.34,0,0,0,0
3Month,0.64,0,0,0.64,0.32,0,0.32,0,0,0.64,2.56,2.56
22Month,0.55,0.55,1.64,7.65,0,0,0.55,0.55,0,0,1.64,0
