stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,12.26,12.26,12.26,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,22.41,7.65,22.41,2.19,2.19,3.28,8.75,4.92,198.98,18.04,0.55,5.47,1.09,2.19,12.03,35.53,4.37,4.37,1.09,0.55,0,1.64,2.73,681.68,0,0.55,0,0.55,1.09,3.83,2.19
