stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,5.35,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,1.92,0.96,40.31,0.96,0,0.64,2.56,6.08,26.56,7.68,0.96,8.96,3.52,4.8,6.4,2.56,1.28,0,28.8,1.92,1.28,0,1.6,0.96,0,0.32,4.16,102.7,0.32,0.64,3.52,1155.98,5.44
22Month,0,0,0,8.75,0,0.55,0,0,0,8.2,0.55,0,1.09,0,0.55,0,1.64,0,0.55,9.29,0,1.09,0,0.55,0,2.19,0,0.55,19.13,0,0,0,7.65,0
