stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0
3Month,0,0,0.32,3.84,0.64,0.32,6.08,1.28,0.32,3.2,0,0.64,0,0.96,0.32,0,0,0.32,0,0,0.32,0,0,0.32
22Month,0,0.55,0,1.09,0.55,2.73,11.48,1.64,0.55,12.03,0,0,1.64,0.55,0,0.55,0,0,0,0,0.55,0,0.55,0.55
