stage,Epithelial_cell,Immune_cell,Keratinocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,1.34,0,0,0,0,0
3Month,0.64,0.32,0.64,15.36,0.64,2.56
22Month,0,0,0,3.83,0,0
