stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,3.21,0,2.14,0,11.77,9.63,0,0,0,0,4.28,3.21
21Day,0,0,0,0,0,0,0,0,1.34,0,0,0,2.68,0,1.34,2.68,1.34,4.02,0,0,0,1.34
3Month,0.32,0,0,0.32,0,0,0.64,0.32,0,0,0,0,0.64,0,0,0,0,0.32,0.32,0,0,0
22Month,0.55,0.55,0.55,0,1.64,7.11,16.95,1.09,0,1.64,0,3.28,4.92,1.09,1.64,0,2.19,0,1.09,0.55,0.55,0
