stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,3.21,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,3.21,0,0,0,0,14.98,7.49,0,3.21,0,0,1.07,0,0,0,0
21Day,1.34,0,6.69,1.34,2.68,0,0,0,0,2.68,1.34,0,4.02,0,6.69,0,0,0,0,8.03,6.69,1.34,2.68,1.34,0,2.68,0,0,0,1.34
3Month,0,1.6,7.36,0,0,1.28,1.6,5.76,1.28,0.32,0.96,0.64,3.2,2.56,0.96,0.64,0,0.64,0.96,0.32,0,0,0.32,0,3.2,0.32,0,1.6,1.6,2.24
22Month,0,1.64,1.09,0,0,0.55,2.19,7.11,0.55,0,1.64,0.55,0.55,2.73,1.09,0,0.55,0,0,0,0,1.64,0,0,0.55,0.55,0.55,0.55,0,1.64
