stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,4.09,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,0,0,0,0,0,0,0,0,0,3.21,0,1.07,10.7,7.49,13.91,0,0,0,0,11.77,6.42,0,0,4.28,0,0,2.14,1.07,0,0
21Day,6.69,1.34,0,6.69,1.34,1.34,0,4.02,0,1.34,0,0,2.68,34.8,1.34,0,4.02,8.03,8.03,0,0,0,0,8.03,2.68,0,0,4.02,1.34,1.34,1.34,0,0,18.74
3Month,0.32,0.32,0.64,2.88,0,0,0,0.96,0.32,2.56,0,2.88,4.48,0.64,0.64,0,0.96,5.76,2.56,1.92,0,0,0.32,0.32,0.32,0.64,0.32,0.32,0,1.28,0,0.32,0.32,7.04
22Month,0,2.73,0.55,4.37,0,0,0.55,0,0.55,8.75,0.55,15.31,4.92,12.57,1.09,0,0,16.95,7.65,0,0.55,0.55,0,0.55,0,0.55,0,0,0,0,0,0,0,6.56
