stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,2.14,0,0,0
3Month,1.28,0.32,0.64,0.96,0,0.32,2.88,0.32,0.32,0.32
22Month,0.55,0,2.19,1.09,0.55,0,1.64,0,0,0
