stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,16.35,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,2.14,1.07,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0,1.92,0.32,0,0.32,2.56,1.28,0,0.32,0,0.64,1.28,0.64,0,0.32,0,0,0.32,0,0,0.32,9.6,0,0,0.32,1.6,0
22Month,0,2.73,0,0.55,0,28.97,0.55,1.09,0,0,0,1.09,0,1.64,0,0.55,0,0,1.09,0.55,0,17.49,0.55,0,0,0,1.09
