stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,4.28,1.07,0,0,0,0,0,0,0,0,2.14,0,4.28,0,0,1.07,1.07,0,0,4.28,0,1.07,0,0,0
21Day,1.34,9.37,0,1.34,0,0,0,0,1.34,0,0,8.03,0,24.09,0,1.34,2.68,0,0,0,5.35,0,0,0,0,0
3Month,0,2.88,0,0,1.92,0.32,2.88,0.96,0,0.64,0.64,1.92,0.32,7.04,2.56,1.28,0.32,0,0,0.32,0,2.24,0,0.32,6.4,1.6
22Month,0,1.64,0,0,1.64,0,16.4,0,1.09,0,0,0.55,1.09,1.64,0,1.09,0,0.55,1.09,0,0.55,0,0,0,0,0
