stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Macrophage,Neural_progenitor_cell,Osteoblast
72hpf,0,0,0,0,0,1.07,1.07
21Day,1.34,0,0,1.34,1.34,0,0
22Month,0,0.55,1.09,0,0,0,0
