stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,0,3.21,0,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,0,1.34,10.71,0,1.34,0,0,0,0,0,0,1.34,0,8.03,1.34,6.69,0,8.03,0,6.69,0,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,29.12,0,19.2,0.64,0,0.64,0.64,1.92,4.48,1.6,0.32,0.64,1.92,63.67,1.92,28.48,4.48,2.24,0.64,0,0.32,0.32,0,0,0.64,3.52,0,0,1.6,1.6,0.64
22Month,0,75.44,0,15.31,0,0,0.55,1.09,3.83,16.4,0.55,0,0.55,0,12.57,13.67,86.92,0,2.73,0,0.55,0,0.55,0.55,0,0.55,0,1.09,0.55,0,0,0
