stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Primordial_germ_cell
21Day,2.68,0,0,0,0,0,1.34,0,0,0
3Month,8.32,0.32,2.24,0.64,5.12,0.32,0.32,0.32,0.32,1.92
22Month,1.64,0.55,1.09,0,0,0.55,0,0,0,0
