stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,4.28,0,0,0,4.28,0,0,0
21Day,0,0,0,0,0,1.34,0,13.39,0,2.68,1.34,1.34,1.34,0,0
3Month,0.32,0.64,0.64,0.96,0.32,0.32,0.64,1.28,0.64,0,0,0,8.64,0.32,0.32
22Month,0,0,0,2.19,0,0,0,0,0.55,0,0,0,0.55,0,0
