stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0
72hpf,0,0,0,1.07,0,0,0,2.14,1.07,0,7.49,6.42,0
21Day,1.34,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32
22Month,0,0.55,0,0,1.09,3.83,0.55,0,0,0.55,0,0,0
