stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,12.26,0,0,0,8.17,0,0,0,0,16.35,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
3Month,0.32,3.2,0.64,0.64,0,0.96,0.64,0.64,0,0,0.32,1.6,42.23
22Month,0,0.55,0,0,0,0,0,0,0,0,0,0,0.55
