stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,20.43,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,3.21,2.14,7.49,53.49,4.28,1.07,8.56,0,1.07,1.07,4.28,0
21Day,9.37,5.35,1.34,0,4.02,14.72,37.48,8.03,0,0,1.34,0,1.34,4.02,4.02
