stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,4.09,0,0,0,0,0,0,4.09,8.17,8.17,0,130.76,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,0,0,3.21,13.91,13.91,2.14,0,0,1.07
21Day,1.34,1.34,5.35,5.35,0,0,1.34,0,0,1.34,1.34,1.34,8.03,1.34,1.34,0,0
3Month,0,0,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0
