stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,1.07,0,0,1.07,0,0,0,0,0,0
21Day,0,4.02,0,0,0,0,0,0,0,0,0,1.34,0,4.02,2.68,1.34,2.68,0,0,1.34,0,0,0,0,0,0
3Month,0.32,3.2,0.32,1.6,0.96,0,5.12,0.32,0.32,5.12,0.32,0.32,1.92,0.96,0.32,0.32,0,0.32,0,0,0.32,1.28,0,0.64,0.32,1.28
22Month,1.09,5.47,0,0.55,2.73,1.09,16.95,1.64,0.55,8.2,0,0.55,1.09,0.55,0,0,0,0,1.64,0,0,0,0.55,0,0,1.64
