stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.64,0,0.32,0.32,0,0.32,0,0.64,0.32,0,0.32,0.32,0,0,0.32,0.64,0.64
22Month,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0,0,0,0,0,0
