stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,65.38,16.35,4.09,0,0,0,0,0,0,0,0,16.35,4.09,12.26,98.07,0,0,20.43,3538.83,0,0,4.09,0,0,0,0,0,4.09,0,0,0
72hpf,16.05,0,8.56,5.35,7.49,1.07,0,0,0,0,0,1.07,0,4.28,12.84,2.14,17.12,0,0,115.54,876.16,0,1.07,14.98,0,0,57.77,0,0,3.21,0,0,0
21Day,4.02,1.34,9.37,0,1.34,1.34,0,0,1.34,0,1.34,1.34,0,0,5.35,2.68,22.76,0,0,30.79,236.92,0,0,1.34,4.02,0,57.56,1.34,1.34,1.34,0,0,2.68
3Month,0,0.32,5.44,0.64,0,0,0.32,0.32,0.64,3.2,0.64,0,0.96,3.52,0.64,0.32,6.08,2.24,0,0,3.2,0.96,0,0,0,13.76,6.72,0,0,2.24,0.64,7.36,0
22Month,0,0,3.28,0,0,0,0,0.55,0,13.67,0,0,0.55,0,0,0,1.64,1.09,0.55,1.64,2.73,2.19,0,0,0,4.92,9.84,0.55,0,0.55,0,0,1.09
