stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,57.21,0,0,0,0,0,4.09,0,44.95,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.93,0,0,0,0,11.77,2.14,0,131.58,0,0,1.07,1.07,0,0,0
21Day,1.34,1.34,1.34,4.02,2.68,0,8.03,0,0,0,0,0,1.34,0,1.34,0,0,5.35,0,141.88,0,0,0,0,8.03,4.02,0,105.74,6.69,0,0,0,0,0,0
3Month,0,0,0,2.56,0,0.64,0,0.32,0.64,5.12,0,0,7.36,0.64,0,1.6,0,0.64,1.92,142.7,20.48,0,1.6,0.96,0,0,0.32,0.32,0.32,0.64,0,0.32,0.32,1.92,1.28
22Month,0,0.55,0,2.19,0,1.64,0.55,0,1.09,12.03,0.55,0,39.91,1.09,0.55,4.92,1.09,2.73,2.19,147.6,5.47,1.09,1.64,0,0.55,0,1.09,0.55,1.09,2.73,0,0,0.55,0,1.64
