stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,8.56,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,2.68,0,0,0,1.34,1.34,0
3Month,2.24,0,0,1.6,0,1.28,0.32,0.32,0,0,0,0.64,0.64,0,0,0.32
22Month,1.09,0.55,0.55,8.2,0.55,0,0,0.55,0,0,0,5.47,0,0,0,0
