stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
3Month,0.64,0.32,2.56,1.28,0,0.32,0.32,0,0.32,0,0.32,0.64,0.32,20.48
22Month,0,0,1.64,0,0.55,0,0,0.55,0,0,0,0,0,0
