stage,Endothelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,1.07,0,0,1.07,0,0,0,0,1.07
21Day,0,0,1.34,4.02,0,1.34,2.68,0,4.02,0
3Month,0.32,0,0,0,0,0,0,0,0,0
