stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,12.26,69.47,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,2.14,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,1.07,1.07,0,1.07,3.21,0,0,0,8.56,0,0,1.07,0,3.21,0,0,0
21Day,4.02,0,1.34,5.35,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,0,0,36.14,0,6.69,0,1.34,0,0,0,0,5.35,0,0,1.34,1.34,1.34,0,0,0
3Month,0.64,0.32,0.64,3.2,0,0,0,0.96,0.32,1.92,0,9.6,0.32,0.32,0.32,7.04,1.28,0.96,10.56,0.32,1.6,3.2,0,0,0,0,0,0,0.64,1.28,0,0,0,0.32,0.32,0.96
22Month,2.19,3.28,0.55,2.19,0,0,0.55,1.64,0,1.64,13.67,189.69,0.55,1.09,2.19,1.64,0.55,4.92,43.19,5.47,2.19,0,0,0,0.55,0.55,2.73,0,0.55,17.49,4.92,1.09,0.55,0,0,1.09
