stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.32,5.76,0,0.32,0.96,8.96,0.64,0.96,0.64,2.56,0.64,0,0,0,0.32,0.64,0.32,0.32
22Month,0.55,1.09,1.64,0.55,1.09,1.09,24.6,0,2.73,0,0,2.19,1.09,0.55,0.55,1.09,1.64,2.73,0.55
