stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,4.02,2.68,0,0,0,0,0,0,0,0,0,6.69,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.96,0.32,39.99,0,0,0.32,0,1.28,0,6.4,1.28,1.6,0.64,8.64,0.64,1.6,0.32,0,0.32,0.32,0,0,0,0.32,1.28,0.64,1.28
22Month,1.09,0,3.83,0,0.55,0,1.09,2.73,0.55,37.72,3.28,4.37,0.55,3.83,1.09,0,0,1.64,0,0,0,0.55,0.55,0.55,2.19,0,1.09
