stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,1.34,0,0,9.37,1.34,0,0,1.34,1.34,87,6.69,2.68,0,0,0,0,4.02,1.34,0,0
3Month,0,0.32,0.32,26.88,0.32,0,0.64,2.24,0.32,14.72,0,0.64,0.32,0,0.32,0.32,0,0,0.64,0.64
22Month,0,0,0,7.11,0,0.55,0.55,0,0,24.6,0,0,0,0.55,0,0,0,0,5.47,0
