stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,4.09,4.09,4.09,0,8.17,0,36.78,0
72hpf,0,0,0,2.14,0,2.14,3.21,0
21Day,0,0,0,0,2.68,0,1.34,2.68
