stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,16.35,98.07,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,3.21,1.07,1.07,0,0,0,1.07,0,0,0,0,0,4.28,4.28,0,9.63,0,0,0,0,14.98,17.12,1.07,0,8.56,0,0,5.35,0,0,0,0,0
21Day,6.69,0,0,5.35,0,2.68,0,0,0,2.68,0,6.69,4.02,6.69,0,1.34,0,4.02,9.37,1.34,0,0,0,9.37,13.39,1.34,0,4.02,0,0,1.34,0,2.68,0,0,6.69
3Month,0.64,1.6,1.92,17.6,1.28,0,0.64,0.32,3.84,16.96,0,29.44,14.72,1.6,19.84,3.2,1.6,10.24,4.48,1.28,0.32,2.56,6.72,0.64,0.64,0.96,0.32,0,1.92,13.76,0,0,0,2.56,21.44,18.24
22Month,0.55,6.56,1.09,10.93,0,0,1.09,0,0.55,19.68,6.01,84.18,10.93,2.73,18.59,0,0.55,9.84,7.11,0.55,3.28,0.55,0,0,0.55,1.64,0.55,1.09,0,2.19,1.09,0.55,0,0,0,9.84
