stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,5.35,0,0,0,2.14,1.07,16.05,1.07,3.21,1.07,1.07
21Day,0,0,0,0,0,0,4.02,0,9.37,0,1.34,0,0
3Month,0.32,0,0.32,0,3.52,0.32,0,0,0.32,0,0,0,0
22Month,0.55,0.55,0,0.55,1.09,1.64,0,0,0,0,0,0,0
