stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,290.13,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,281.36,0,0,0,2.14,1.07,0,0,0,0,0,0,4.28,1.07,0,0,1.07,1.07,33.16,4.28,4.28,0,0,2.14,0,0,0,0
21Day,111.1,0,1.34,2.68,0,0,0,0,0,5.35,0,0,1.34,0,6.69,0,0,0,13.39,1.34,2.68,2.68,0,1.34,1.34,1.34,0,0
3Month,1.92,0.32,0,0.96,0,0,4.8,1.28,10.88,0.64,0.64,0.32,0.32,3.84,0.64,0.32,0,0.32,0,0,0,0.32,2.88,0,0,0,0.64,1.6
22Month,0,0,0,0.55,0,0,10.93,14.21,2.73,2.73,1.64,0,0,10.39,0.55,0,0,0,0,0.55,0,0,0.55,0,0,0,0,2.19
