stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,16.35,0,12.26,4.09,0,0,0,0,0,0,0,0,0,0,4.09,28.6,20.43,0,0,0,0,0,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.64,2.88,14.08,0,2.56,0.64,3.52,6.72,0,806.91,7.68,0,16.32,2.88,3.84,11.2,12.8,0.96,1.28,0.96,4.8,0.64,0.32,0.32,0.64,0,11.2,28.8,0.32,0,1.6,52.47,7.36
22Month,0,0.55,1.09,2.19,0,0.55,0,0.55,12.03,4.37,459.74,3.83,0.55,9.84,0.55,0.55,11.48,3.28,0,26.24,0,0.55,0,0,0,1.09,1.09,0,0,0,0.55,0,0,2.19
