stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1896.09,204.32,0,69.47,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,40.86,2880.92,0,0,0,0,12.26,441.33,0,0,0,261.53,0,0,0,0,0,0,0,0,0,0
72hpf,39.58,2.14,0,2.14,1.07,2.14,0,1.07,0,1.07,0,0,1.07,0,0,0,0,4.28,1.07,358.38,0,1.07,0,0,14.98,16.05,0,4.28,0,67.4,0,0,0,1.07,1.07,0,2.14,0,0,0
21Day,64.25,4.02,1.34,17.4,0,14.72,0,1.34,0,0,0,0,4.02,30.79,5.35,1.34,1.34,4.02,4.02,622.42,0,0,9.37,1.34,24.09,9.37,0,0,0,41.49,13.39,0,1.34,0,0,6.69,20.08,0,0,0
3Month,0.64,33.91,0.64,12.8,0,0,0.32,0,2.88,23.68,0,0,52.79,406.34,0.32,15.36,0.64,1.92,20.48,158.37,0.64,0.32,1.6,0.96,2.24,4.16,0.64,0.32,0,0,1.6,0.96,7.68,0.64,0,0,0,2.88,6.08,2.56
22Month,1.09,54.12,0.55,12.03,0,0,2.73,0,2.19,25.69,1.64,0,165.09,364.07,1.64,37.17,0.55,4.92,63.96,831.46,1.64,10.39,4.92,0,0.55,0,1.09,1.09,0.55,0.55,1.09,0,1.09,0.55,0.55,0,0,0.55,0,6.01
