stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,24.52,0,0,0
3Month,0,0.64,0,0.64,0.32,0,0,2.56,0.32,0.32
22Month,0,0.55,0.55,3.83,0,0.55,0,5.47,0,0
