stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,8.17
72hpf,1.07,0,0,0,0,0,1.07,10.7,0
21Day,0,0,0,0,0,0,0,4.02,1.34
22Month,0,0.55,1.64,5.47,0.55,0.55,0,0,0
