stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,8.17,0,0,0,0,4.09,4.09,20.43,8.17,85.81,4.09,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,1.07,6.42,7.49,9.63,5.35,0,0,0,0
21Day,0,0,0,0,0,0,0,2.68,1.34,2.68,1.34,1.34,1.34,2.68,0,0,0
3Month,0,0,2.24,0.64,0.64,0.32,0.32,0,0.64,0,0,0,0,31.36,0.32,0.32,17.6
