stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,0,5.35,0,0,2.14,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,4.28,1.07,0,0,0,0,0,0,0,0
21Day,0,1.34,0,21.42,0,0,1.34,0,0,0,0,0,2.68,0,4.02,1.34,1.34,2.68,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0
3Month,0.64,162.21,0.64,153.26,0,0.32,0.32,3.2,5.76,0,15.68,5.44,1.28,8.64,5.44,42.55,4.8,6.08,1.92,0,0.64,1.28,1.28,1.6,0.32,0.64,0.96,7.68,0,70.71,10.56,3.84
22Month,0,125.73,0.55,49.75,0,1.09,0,0.55,3.28,4.92,30.61,2.19,2.73,12.03,0.55,6.56,8.2,6.01,0.55,1.09,0,0,1.09,0,1.09,0,0.55,5.47,0,5.47,0,1.09
