stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,4.09,4.09,0,32.69,0,0,0
72hpf,0,0,0,1.07,0,0,8.56,3.21,0,0,0
21Day,1.34,2.68,0,0,0,0,1.34,1.34,1.34,0,0
3Month,0,0.32,0.32,0,0,0.64,0,0,0.32,0.32,0.32
