stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,32.69,0,0,4.09,0,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,4.28,0,1.07,0,0,0,0,0,0,0,0,12.84,12.84,0,35.3,1.07,3.21,1.07,13.91,7.49,0,0,5.35,1.07,0,3.21,2.14,0,0,0
21Day,2.68,1.34,5.35,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,17.4,0,0,0,1.34,9.37,0,0,2.68,0,0,2.68,1.34,0,0,0
3Month,0.32,0.96,3.84,0.32,0,0,0.32,0,0,31.99,0.32,0,2.24,0,0,0.32,2.24,0,0,0.64,0,0.32,0.32,0,0,1.6,0.64,0.32,0,0.32,1.28,0.32
22Month,0,1.64,2.73,0,0,0.55,0.55,1.09,1.64,75.98,1.09,0.55,3.83,0.55,0.55,1.09,2.19,1.09,0,0,0.55,0,0.55,0.55,0,0.55,0.55,3.28,0,0,0,1.09
