stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Nephron_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,22.76,1.34,0,0,0
3Month,12.48,0.32,0.32,0.32,0.32,0.64,0,0.32,0.32,0.32
